Animal,Day,Session,Cricket,On,Approach Start,Capture,Consumption,Score,Notes,Time2Capture,Latency,Attack Duration,FPS
PV09,1,1,1,7010,8379,21564,22941,,total = 71006,727.7,68.45,659.25,20
,1,1,2,23993,26885,35433,36801,,,572,144.6,427.4,
,1,1,3,38287,38793,39604,40505,,,65.85,25.3,40.55,
,1,1,4,41902,42212,43906,44600,,,100.2,15.5,84.7,
,1,1,5,46545,47228,47248,48098,,,35.15,34.15,1,
,1,1,6,52097,52285,52341,53220,,,12.2,9.4,2.8,
,1,1,7,55582,55584,55592,56430,,,0.5,0.1,0.4,
,1,1,8,57476,58336,64222,65125,,,337.3,43,294.3,
,1,1,9,67083,67312,67701,68623,,,30.9,11.45,19.45,
,1,1,10,69765,69770,69988,70758,,,11.15,0.25,10.9,
,1,2,1,6439,6786,6906,8113,,total = 59580,23.35,17.35,6,
,1,2,2,9347,9468,13672,14809,,,216.25,6.05,210.2,
,1,2,3,15491,15964,16050,16950,,,27.95,23.65,4.3,
,1,2,4,17989,18122,18136,18374,,,7.35,6.65,0.7,
,1,2,5,21358,,,,,*removed at 27386,-1067.9,-1067.9,0,
,1,2,6,27529,,,,,*removed at 36099,-1376.45,-1376.45,0,
,1,2,7,36200,37972,40008,41517,,,190.4,88.6,101.8,
,1,2,8,42720,43287,43322,44932,,,30.1,28.35,1.75,
,1,2,9,45993,46534,49510,50618,,,175.85,27.05,148.8,
,1,2,10,51919,51923,52047,52938,,,6.4,0.2,6.2,
,1,2,11,53566,53611,53645,54643,,,,,,
,1,2,12,58368,58383,58441,59357,,,,,,
,1,3,1,6209,6387,7238,8080,,total = 58619,51.45,8.9,42.55,
,1,3,2,9589,10009,11379,12513,,,89.5,21,68.5,
,1,3,3,13010,13126,13150,14792,,,7,5.8,1.2,
,1,3,4,17084,17223,19595,20824,,,125.55,6.95,118.6,
,1,3,5,21572,21846,21927,23000,,,17.75,13.7,4.05,
,1,3,6,24103,24142,25267,25970,,,58.2,1.95,56.25,
,1,3,7,28410,31169,33157,34726,,,237.35,137.95,99.4,
,1,3,8,36221,36445,38390,40395,,,108.45,11.2,97.25,
,1,3,9,43266,43758,44765,46065,,,74.95,24.6,50.35,
,1,3,10,48396,54880,54892,56188,,,324.8,324.2,0.6,
,2,4,1,,,,,,,0,0,0,
,2,4,2,,,,,,,0,0,0,
,2,4,3,,,,,,,0,0,0,
,2,4,4,,,,,,,0,0,0,
,2,4,5,,,,,,,0,0,0,
,2,4,6,,,,,,,0,0,0,
,2,4,7,,,,,,,0,0,0,
,2,4,8,,,,,,,0,0,0,
,2,4,9,,,,,,,0,0,0,
,2,4,10,,,,,,,0,0,0,
,2,5,1,,,,,,,0,0,0,
,2,5,2,,,,,,,0,0,0,
,2,5,3,,,,,,,0,0,0,
,2,5,4,,,,,,,0,0,0,
,2,5,5,,,,,,,0,0,0,
,2,5,6,,,,,,,0,0,0,
,2,5,7,,,,,,,0,0,0,
,2,5,8,,,,,,,0,0,0,
,2,5,9,,,,,,,0,0,0,
,2,5,10,,,,,,,0,0,0,